Altium Designer Pick and Place Locations
C:\Users\Satyam.DESKTOP-S570OAU\OneDrive - Vylt Technologies Private Limited\Altium_Designs\BIN_DETECTOR\Project Outputs for RFID_Reader_Writer\Pick Place\Gateway\Gateway.txt

========================================================================================================================
File Design Information:

Date:       12-08-24
Time:       12:04
Revision:   Not in VersionControl
Variant:    Gateway
Units used: mil

Designator Comment                  Layer       Footprint                Center-X(mil) Center-Y(mil) Rotation Description                                                     
R9         ERP_101-1                TopLayer    RES_0603                 169.291       1013.779      0        RES_0603                                                        
R8         ERP_101-1                TopLayer    RES_0603                 169.291       757.874       0        RES_0603                                                        
R6         ERP_101-1                TopLayer    RES_0603                 1122.047      334.646       270      RES_0603                                                        
R5         ERP_101-1                TopLayer    RES_0603                 885.827       334.646       270      RES_0603                                                        
R4         ERP_101-1                TopLayer    RES_0603                 472.441       1722.441      270      RES_0603                                                        
R2         ERP_101-1                TopLayer    RES_0603                 169.291       501.969       0        RES_0603                                                        
Q2         ERP_105-1                TopLayer    MMBT2222                 1003.937      340.551       270      MMBT2222A                                                       
Q1         ERP_105-1                TopLayer    MMBT2222                 1240.158      340.551       270      MMBT2222A                                                       
J6         ERP_148-3                TopLayer    RJ45                     3464.567      905.512       90       "CONN MOD JACK 8P8C R/A UNSHLD"                                 
J5         Jumper_2P                BottomLayer Jumper_2P                369.248       223.210       180      "Jumper 2 Pins"                                                 
J4         ERP_148-2                TopLayer    6PX1R                    1031.102      196.850       0        6PX1R                                                           
D4         LED_2SMD                 TopLayer    LED_2SMD                 137.795       885.827       90       "LED RED CLEAR 1204 SMD R/A"                                    
D3         LED_2SMD                 TopLayer    LED_2SMD                 137.795       374.016       90       "LED YELLOW CLEAR 1204 SMD R/A"                                 
D2         LED_2SMD                 TopLayer    LED_2SMD                 137.795       629.921       90       "LED GREEN CLEAR 1204 SMD R/A"                                  
D1         ERP_104-3                TopLayer    SS14_SMA                 2165.354      375.510       180      SS14_SMA                                                        
C30        ERP_102-2                TopLayer    CAP_6.3_7.7              2982.062      819.209       90       "Electrolytic Capacitor SMD 6.3x7.7"                            
C29        ERP_102-1                TopLayer    CAPC1608X10N             393.701       1722.441      270      "MLCC 0603"                                                     
C16        ERP_102-1                TopLayer    CAPC1608X10N             458.396       1393.701      270      "MLCC 0603"                                                     
C15        ERP_102-1                TopLayer    CAPC1608X10N             708.661       511.748       0        "MLCC 0603"                                                     
C14        ERP_102-1                TopLayer    CAPC1608X10N             708.661       637.368       0        "MLCC 0603"                                                     
C13        ERP_102-1                TopLayer    CAPC1608X10N             708.661       575.050       0        "MLCC 0603"                                                     
C3         ERP_102-1                TopLayer    CAPC1608X10N             2592.127      1055.468      0        "MLCC 0603"                                                     
C2         ERP_102-1                TopLayer    CAPC1608X10N             2810.787      1055.468      180      "MLCC 0603"                                                     
