Altium Designer Pick and Place Locations
C:\Users\Satyam.DESKTOP-S570OAU\OneDrive - Vylt Technologies Private Limited\Altium_Designs\BIN_DETECTOR\Project Outputs for RFID_Reader_Writer\Pick Place\Sensor\Sensor.csv

========================================================================================================================
File Design Information:

Date:       12-08-24
Time:       18:06
Revision:   Not in VersionControl
Variant:    Sensor
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"C14","TopLayer","18.0000mm","16.1891mm","0"
"C13","TopLayer","18.0000mm","14.6063mm","0"
"C12","TopLayer","18.6191mm","90.8500mm","90"
"C11","TopLayer","20.3191mm","90.8500mm","90"
"C10","TopLayer","25.4691mm","80.9500mm","0"
"C9","TopLayer","25.4691mm","82.4500mm","0"
"C8","TopLayer","17.9000mm","75.4000mm","270"
"C7","TopLayer","20.5000mm","75.4000mm","270"
"C5","TopLayer","23.7000mm","75.4000mm","270"
"C3","TopLayer","65.8400mm","26.8089mm","0"
"C2","TopLayer","71.3940mm","26.8089mm","180"
"C1","TopLayer","25.4691mm","79.4500mm","0"
